model,train_domain,test_domain,is_in_domain,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,specificity,sensitivity,ensemble_accuracy,ensemble_precision,ensemble_recall,ensemble_f1,ensemble_roc_auc,best_base_f1,improvement,imdb_f1,amazon_f1,yelp_f1
TF-IDF + LogReg,imdb,imdb,True,0.8999,0.8944565002959164,0.9068,0.9005859568974078,0.9654952000000004,4465.0,535.0,466.0,4534.0,0.893,0.9068,,,,,,,,,,
TF-IDF + LogReg,imdb,amazon,False,0.84129,0.8163783673545062,0.88066,0.8473017308561918,0.925573227809375,320768.0,79232.0,47736.0,352264.0,0.80192,0.88066,,,,,,,,,,
TF-IDF + LogReg,imdb,yelp,False,0.8450572329200077,0.8221545667447306,0.8806000100336127,0.8503742460576993,0.929425766255641,48409.0,11391.0,7140.0,52659.0,0.809515050167224,0.8806000100336127,,,,,,,,,,
TF-IDF + LogReg,amazon,imdb,False,0.8876,0.8982737361282368,0.8742,0.8860733833367119,0.95708432,4505.0,495.0,629.0,4371.0,0.901,0.8742,,,,,,,,,,
TF-IDF + LogReg,amazon,amazon,True,0.92254625,0.9225367429232842,0.9225575,0.9225471213448848,0.97571658546875,369014.0,30986.0,30977.0,369023.0,0.922535,0.9225575,,,,,,,,,,
TF-IDF + LogReg,amazon,yelp,False,0.9052333213488408,0.8826083524117786,0.9347982407732572,0.9079539363620122,0.9699492958601952,52365.0,7435.0,3899.0,55900.0,0.8756688963210703,0.9347982407732572,,,,,,,,,,
TF-IDF + LogReg,yelp,imdb,False,0.8286,0.8871347785108389,0.753,0.814582431847685,0.9222902,4521.0,479.0,1235.0,3765.0,0.9042,0.753,,,,,,,,,,
TF-IDF + LogReg,yelp,amazon,False,0.87481875,0.8864798121315388,0.8597325,0.8729013073479784,0.94658460286875,355962.0,44038.0,56107.0,343893.0,0.889905,0.8597325,,,,,,,,,,
TF-IDF + LogReg,yelp,yelp,True,0.9421734295437252,0.943017508586747,0.9412197528386762,0.9421177730909578,0.986449769073106,56399.0,3401.0,3515.0,56284.0,0.9431270903010034,0.9412197528386762,,,,,,,,,,
BERT,imdb,imdb,True,0.9285,0.9258596700457166,0.9316,0.9287209650084738,0.97949324,4627.0,373.0,342.0,4658.0,0.9254,0.9316,,,,,,,,,,
BERT,imdb,amazon,False,0.91330875,0.8755926727810127,0.9635175,0.9174533158288768,0.97540291501875,345240.0,54760.0,14593.0,385407.0,0.8631,0.9635175,,,,,,,,,,
BERT,imdb,yelp,False,0.9143136648299734,0.9033192791678196,0.9279419388284084,0.915465074075296,0.9718280453566268,53861.0,5939.0,4309.0,55490.0,0.900685618729097,0.9279419388284084,,,,,,,,,,
BERT,amazon,imdb,False,0.9319,0.9356465604196086,0.9276,0.9316059053931908,0.9800457799999998,4681.0,319.0,362.0,4638.0,0.9362,0.9276,,,,,,,,,,
BERT,amazon,amazon,True,0.9720525,0.9716987259555332,0.9724275,0.972062976383856,0.9944872297125,388671.0,11329.0,11029.0,388971.0,0.9716775,0.9724275,,,,,,,,,,
BERT,amazon,yelp,False,0.946379150327344,0.9289961749863392,0.9666382380976272,0.9474434728448382,0.9877145702596452,55382.0,4418.0,1995.0,57804.0,0.9261204013377926,0.9666382380976272,,,,,,,,,,
BERT,yelp,imdb,False,0.8879,0.921172638436482,0.8484,0.8832899531494014,0.96143916,4637.0,363.0,758.0,4242.0,0.9274,0.8484,,,,,,,,,,
BERT,yelp,amazon,False,0.94605,0.9474280784817236,0.94451,0.9459667888548364,0.98595707615,379036.0,20964.0,22196.0,377804.0,0.94759,0.94451,,,,,,,,,,
BERT,yelp,yelp,True,0.9713459142634971,0.9718427748761216,0.9708189100152176,0.9713305726356296,0.996032036614744,58118.0,1682.0,1745.0,58054.0,0.9718729096989966,0.9708189100152176,,,,,,,,,,
DISTILBERT,imdb,imdb,True,0.9188,0.9164677804295944,0.9216,0.9190267251695252,0.97504226,4580.0,420.0,392.0,4608.0,0.916,0.9216,,,,,,,,,,
DISTILBERT,imdb,amazon,False,0.92009125,0.9075420125777012,0.9354875,0.921302890374078,0.974215634175,361878.0,38122.0,25805.0,374195.0,0.904695,0.9354875,,,,,,,,,,
DISTILBERT,imdb,yelp,False,0.9101246665942024,0.9307922009485332,0.8861352196525025,0.907914914031646,0.9703809801575524,55860.0,3940.0,6809.0,52990.0,0.934113712374582,0.8861352196525025,,,,,,,,,,
DISTILBERT,amazon,imdb,False,0.9278,0.9272872552936476,0.9284,0.927843294023586,0.97868398,4636.0,364.0,358.0,4642.0,0.9272,0.9284,,,,,,,,,,
DISTILBERT,amazon,amazon,True,0.970495,0.9704573634109273,0.970535,0.970496180152794,0.9943541481218752,388182.0,11818.0,11786.0,388214.0,0.970455,0.970535,,,,,,,,,,
DISTILBERT,amazon,yelp,False,0.9439543808894724,0.9237104187946884,0.9678422716098932,0.9452615246417052,0.9873820257729616,55020.0,4780.0,1923.0,57876.0,0.920066889632107,0.9678422716098932,,,,,,,,,,
DISTILBERT,yelp,imdb,False,0.8744,0.9096280087527352,0.8314,0.8687565308254963,0.95625912,4587.0,413.0,843.0,4157.0,0.9174,0.8314,,,,,,,,,,
DISTILBERT,yelp,amazon,False,0.94179875,0.944473368494918,0.93879,0.941623108527783,0.98428499896875,377923.0,22077.0,24484.0,375516.0,0.9448075,0.93879,,,,,,,,,,
DISTILBERT,yelp,yelp,True,0.969456266356742,0.971323998522548,0.9674743724811452,0.9693953636447415,0.9955281746246804,58092.0,1708.0,1945.0,57854.0,0.971438127090301,0.9674743724811452,,,,,,,,,,
ROBERTA,imdb,imdb,True,0.9462,0.9419572107765452,0.951,0.9464570063694268,0.98663418,4707.0,293.0,245.0,4755.0,0.9414,0.951,,,,,,,,,,
ROBERTA,imdb,amazon,False,0.935675,0.9033112858657064,0.9757975,0.938156322933116,0.9840059989406248,358221.0,41779.0,9681.0,390319.0,0.8955525,0.9757975,,,,,,,,,,
ROBERTA,imdb,yelp,False,0.9471901938979423,0.936446279642898,0.9594976504623824,0.947831832823986,0.98794104494762,55906.0,3894.0,2422.0,57377.0,0.9348829431438128,0.9594976504623824,,,,,,,,,,
ROBERTA,amazon,imdb,False,0.9421,0.943430290872618,0.9406,0.942013019529294,0.9851521,4718.0,282.0,297.0,4703.0,0.9436,0.9406,,,,,,,,,,
ROBERTA,amazon,amazon,True,0.97468625,0.9746542108407682,0.97472,0.9746871043102296,0.9953623528218748,389861.0,10139.0,10112.0,389888.0,0.9746525,0.97472,,,,,,,,,,
ROBERTA,amazon,yelp,False,0.9623240996998302,0.9495585150495146,0.9765213465108112,0.9628512069647804,0.9938763395557952,56698.0,3102.0,1404.0,58395.0,0.9481270903010034,0.9765213465108112,,,,,,,,,,
ROBERTA,yelp,imdb,False,0.9168,0.9222042139384116,0.9104,0.9162640901771336,0.97557296,4616.0,384.0,448.0,4552.0,0.9232,0.9104,,,,,,,,,,
ROBERTA,yelp,amazon,False,0.95833125,0.9578196365561484,0.95889,0.9583545194122784,0.9904976555375,383109.0,16891.0,16444.0,383556.0,0.9577725,0.95889,,,,,,,,,,
ROBERTA,yelp,yelp,True,0.9772573349275496,0.9769859442113884,0.9775414304587032,0.9772636083990904,0.9973171492951778,58423.0,1377.0,1343.0,58456.0,0.9769732441471572,0.9775414304587032,,,,,,,,,,
,,imdb,,,,,,,,,,,,,0.9334,0.9379547291835084,0.9282,0.9330518697225572,0.983248,0.9316059053931908,0.14459643293665,0.9287209650084738,0.9316059053931908,0.8832899531494014
,,amazon,,,,,,,,,,,,,0.96655125,0.9594470499895368,0.9742825,0.9668078666807246,0.99167000925625,0.972062976383856,-0.5255109703131478,0.9174533158288768,0.972062976383856,0.9459667888548364
,,yelp,,,,,,,,,,,,,0.9581351014640592,0.9465234540535254,0.9711366410809544,0.9586720923130256,0.9910507052024504,0.9713305726356296,-1.2658480322604082,0.915465074075296,0.9474434728448382,0.9713305726356296
,,imdb,,,,,,,,,,,,,0.9302,0.9317543155359294,0.9284,0.9300741334401924,0.97987404,0.927843294023586,0.22308394166064,0.9190267251695252,0.927843294023586,0.8687565308254963
,,amazon,,,,,,,,,,,,,0.96749625,0.9663641510233908,0.96871,0.9675356536004424,0.9914492191187498,0.970496180152794,-0.2960526552351461,0.921302890374078,0.970496180152794,0.941623108527783
,,yelp,,,,,,,,,,,,,0.9564962917750148,0.9474495148177288,0.9666047927222864,0.956931303649623,0.9906475413370578,0.9693953636447415,-1.246405999511857,0.907914914031646,0.9452615246417052,0.9693953636447415
,,imdb,,,,,,,,,,,,,0.9469,0.9462752146994208,0.9476,0.9469371439992006,0.9878139600000002,0.9464570063694268,0.0480137629773835,0.9464570063694268,0.942013019529294,0.9162640901771336
,,amazon,,,,,,,,,,,,,0.9692,0.9618223873618936,0.9771875,0.9694440655266062,0.99299372598125,0.9746871043102296,-0.524303878362331,0.938156322933116,0.9746871043102296,0.9583545194122784
,,yelp,,,,,,,,,,,,,0.9704428966797382,0.9644083465398838,0.9769394137025704,0.9706334371754932,0.9951459104835088,0.9772636083990904,-0.6630171223597325,0.947831832823986,0.9628512069647804,0.9772636083990904
